ANO_ELEICAO,N_CAND_MASC,N_VOTOS_MASC,VOTOS_POR_CAND_MASC,N_CAND_FEM,N_VOTOS_FEM,VOTOS_POR_CAND_FEM
2006,4325,77812261.0,17991.27421965318,626,6686775.0,10681.749201277955
2010,3969,80894991.0,20381.7059712774,934,8472511.0,9071.210920770878
2014,4151,80657811.0,19430.934955432425,1724,8547272.0,4957.814385150812
