Ocupacao,MascAntesBaixo,MascDepoisBaixo,MascAntesAlto,MascDepoisAlto,FemAntesBaixo,FemDepoisBaixo,FemAntesAlto,FemDepoisAlto
Dona de dasa,8,20,73,74,952,16023,16228,26090
Aposentado,388,659,15987,19193,119,2820,3891,7651
Servidor publico,917,1753,46602,53091,743,4039,16622,22661
Todas as ocupacoes,9345,16356,507592,562095,6036,69620,136748,204783
