ANO_ELEICAO,N_CAND_MASC,N_VOTOS_MASC,VOTOS_POR_CAND_MASC,N_CAND_FEM,N_VOTOS_FEM,VOTOS_POR_CAND_FEM
2006,9881,71607301.0,7246.969031474547,1602,8959699.0,5592.820848938826
2010,9404,76079103.0,8090.079008932369,2446,10374907.0,4241.580948487326
2014,10155,77190162.0,7601.197636632201,4155,10177363.0,2449.4255114320094
