ANO_ELEICAO,N_CAND_MASC,N_VOTOS_MASC,VOTOS_POR_CAND_MASC,N_CAND_FEM,N_VOTOS_FEM,VOTOS_POR_CAND_FEM
2004,269733,75135947.0,278.5567468570772,76655,12755833.0,166.40575304937707
2008,255180,77411682.0,303.36108629202914,71637,12972853.0,181.0915169535296
2012,282972,82052423.0,289.9665797322703,132415,15008361.0,113.343359891251
2016,295515,83382652.0,282.1604723956483,142058,15806502.0,111.26794689493023
