PROFISSAO;CATEGORIA
TRABALHADOR DE FABRICACAO DE PRODUTOS DE BORRACHA E PLASTICO;empregado
TRABALHADOR DE FABRICACAO DE CALCADOS E ARTEFATOS DE COURO;empregado
TRABALHADOR DE FABRICACAO DE PRODUTOS TEXTEIS (EXCETO ROUPAS);empregado
MAQUINISTA E FOGUISTA DE EMBARCACOES E ASSEMELHADOS;empregado
TRABALHADOR DE FABRICACAO, VULCANIZACAO E REPARACAO DE PNEUMATICOS;empregado
CORTADOR, POLIDOR E GRAVADOR DE PEDRAS;empregado
TRABALHADOR DE FABRICACAO DE PAPEL E PAPELAO;empregado
TORNEIRO MECÂNICO;empregado
AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS;empregado
MAQUINISTA E FOGUISTA DE EMBARCAÇÕES E ASSEMELHADOS;empregado
VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;empregado
OPERADOR DE APARELHOS DE PRODUÇÃO INDUSTRIAL;empregado
TRABALHADOR METALÚRGICO E SIDERÚRGICO;empregado
TRABALHADOR DE FABRICAÇÃO DE ROUPAS;empregado
RECEPCIONISTA;empregado
TRABALHADOR DE FABRICAÇÃO DE PRODUTOS TÊXTEIS (EXCETO ROUPAS);empregado
MONTADOR DE MÁQUINAS;empregado
TELEFONISTA;empregado
COMISSÁRIO DE BORDO;empregado
TRABALHADOR EM ATIVIDADE DE PROCESSAMENTO QUÍMICO;empregado
OFFICE-BOY E CONTÍNUO;empregado
PADEIRO, CONFEITEIRO E ASSEMELHADOS;empregado
TAQUÍGRAFO E ESTENÓGRAFO;empregado
TRABALHADOR DE FABRICAÇÃO, VULCANIZAÇÃO E REPARAÇÃO DE PNEUMÁTICOS;empregado
TRABALHADOR DE FABRICAÇÃO DE PRODUTOS DE BORRACHA E PLÁSTICO;empregado
TRABALHADOR DE FABRICAÇÃO E PREPARAÇÃO DE ALIMENTOS E BEBIDAS;empregado
TRABALHADOR DE TRATAMENTO DE FUMO E DE FABRICAÇÃO DE CIGARROS/CHARUTOS;empregado
TRABALHADOR DE FABRICAÇÃO DE PAPEL E PAPELÃO;empregado
POLICIAL MILITAR;funcionario
POLICIAL CIVIL;funcionario
SERVENTUARIO DE JUSTICA;funcionario
ASSISTENTE SOCIAL;funcionario
AGENTE POSTAL;funcionario
FERROVIARIO;funcionario
SALVA-VIDAS;funcionario
SERVIDOR DA JUSTICA ELEITORAL;funcionario
BOMBEIRO CIVIL;funcionario
CONTROLADOR DE TRAFEGO AEREO;funcionario
SERVIDOR PÚBLICO CIVIL APOSENTADO;funcionario
TABELIÃO;funcionario
FERROVIÁRIO;funcionario
SERVIDOR DA JUSTIÇA ELEITORAL;funcionario
CONTROLADOR DE TRÁFEGO AÉREO;funcionario
GERENTE;gerente
AGENTE ADMINISTRATIVO;gerente
DIRETOR DE ESTABELECIMENTO DE ENSINO;gerente
ADMINISTRADOR;gerente
DIRETOR DE EMPRESAS;gerente
SUPERVISOR, INSPETOR E AGENTE DE COMPRAS E VENDAS;gerente
FISCAL DE TRANSPORTE COLETIVO;gerente
COMANDANTE DE EMBARCACOES;gerente
PRODUTOR DE ESPETÁCULOS PÚBLICOS;gerente
COMANDANTE DE EMBARCAÇÕES;gerente
MILITAR REFORMADO;militar
MEMBRO DAS FORCAS ARMADAS;militar
BOMBEIRO MILITAR;militar
MEMBRO DAS FORÇAS ARMADAS;militar
OUTROS;outros
ESTUDANTE,BOLSISTA, ESTAGIARIO E ASSEMELHADOS;outros
APOSENTADO (EXCETO SERVIDOR PUBLICO);outros
NÃO INFORMADA;outros
PROTETICO;outros
ECONOMISTA DOMESTICO;outros
DEMONSTRADOR;outros
APOSENTADO (EXCETO SERVIDOR PÚBLICO);outros
ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;outros
OCUPANTE DE CARGO EM COMISSÃO;outros
ECONOMISTA DOMÉSTICO;outros
SENADOR, DEPUTADO E VEREADOR;politico
PRESIDENTE DA REPUBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO;politico
VEREADOR;politico
DEPUTADO;politico
SENADOR;politico
MINISTRO DE ESTADO;politico
PRESIDENTE DA REPÚBLICA;politico
PREFEITO;politico
ENGENHEIRO;qualificado
VETERINARIO;qualificado
RELACOES PUBLICAS;qualificado
PROGRAMADOR DE COMPUTADOR;qualificado
BACTERIOLOGISTA E TRABALHADOR ASSEMELHADO;qualificado
ODONTOLOGO;qualificado
ADVOGADO;qualificado
JORNALISTA E REDATOR;qualificado
MEDICO;qualificado
PUBLICITARIO;qualificado
FARMACEUTICO;qualificado
PSICOLOGO;qualificado
PROFESSOR DE ENSINO SUPERIOR;qualificado
ARQUITETO;qualificado
COMUNICOLOGO;qualificado
ESTATISTICO;qualificado
FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL;qualificado
PARAMEDICO;qualificado
NUTRICIONISTA E TRABALHADOR ASSEMELHADO;qualificado
FONOAUDIOLOGO;qualificado
DIPLOMATA;qualificado
METEOROLOGISTA;qualificado
ODONTÓLOGO;qualificado
MÉDICO;qualificado
VETERINÁRIO;qualificado
PUBLICITÁRIO;qualificado
FARMACÊUTICO;qualificado
PSICÓLOGO;qualificado
ESTATÍSTICO;qualificado
RELAÇÕES-PÚBLICAS;qualificado
MAGISTRADO;qualificado
PARAMÉDICO;qualificado
TRABALHADOR DE MINAS E PEDREIRAS, SONDADOR E TRABALHADOR ASSEMELHADO;precario
OPERADOR DE IMPLEMENTO DE AGRICULTURA, PECUARIA E EXPLORACAO FLORESTAL;precario
MOTORISTA DE VEICULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;precario
TRABALHADOR DE CONSTRUCAO CIVIL;precario
MOTORISTA DE VEICULOS DE TRANSPORTE DE CARGA;precario
GARI OU LIXEIRO;precario
VIGILANTE;precario
VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;precario
ESTIVADOR, CARREGADOR, EMBALADOR E ASSEMELHADOS;precario
LAVADOR DE VEICULOS;precario
TRABALHADOR FLORESTAL;precario
MOTOBOY;precario
PESCADOR;precario
FRENTISTA;precario
EMPREGADO DOMESTICO;precario
PORTEIRO DE EDIFICIO, ASCENSORISTA, GARAGISTA, FAXINEIRO E ZELADOR;precario
COBRADOR DE TRANSPORTE COLETIVO;precario
JARDINEIRO;precario
COVEIRO;precario
TRABALHADOR DE FABRICACAO DE ROUPAS;precario
CARVOEIRO;precario
GARIMPEIRO;precario
CERAMISTA, OLEIRO;precario
CATADOR DE RECICLAVEIS;precario
GUARDADOR DE VEICULOS;precario
TRABALHADOR DE TRATAMENTO DE FUMO E DE FABRICACAO DE CIGARROS/CHARUTOS;precario
ENGRAXATE;precario
PORTEIRO DE EDIFÍCIO, ASCENSORISTA, GARAGISTA E ZELADOR;precario
TRABALHADOR RURAL;precario
TRABALHADOR DE CONSTRUÇÃO CIVIL;precario
CATADOR DE RECICLÁVEIS;precario
ESTIVADOR, CARREGADOR E ASSEMELHADOS;precario
MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;precario
MOTORISTA PARTICULAR;precario
MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA;precario
TRABALHADOR DE FABRICAÇÃO DE CALÇADOS E ARTEFATOS DE COURO;precario
EMPREGADO DOMÉSTICO;precario
FAXINEIRO;precario
OPERADOR DE IMPLEMENTO DE AGRICULTURA, PECUÁRIA E EXPLORAÇÃO FLORESTAL;precario
TRABALHADOR DE MINAS E PEDREIRAS, SONDADOR E ASSEMELHADOS;precario
GUARDADOR DE VEÍCULOS;precario
LAVADOR DE VEÍCULOS;precario
CERAMISTA E OLEIRO;precario
EMBALADOR, EMPACOTADOR E ASSEMELHADOS;precario
SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;religioso
SERVIDOR PUBLICO FEDERAL;servidor
SERVIDOR PUBLICO MUNICIPAL;servidor
AGENTE DE SAUDE E SANITARISTA;servidor
SERVIDOR PUBLICO CIVIL APOSENTADO;servidor
SERVIDOR PUBLICO ESTADUAL;servidor
OCUPANTE DE CARGO EM COMISSAO;servidor
FISCAL;servidor
TABELIAO;servidor
MEMBRO DO MINISTERIO PUBLICO;servidor
OPERADOR DE INSTALACAO DE PRODUCAO DE ENERGIA ELETRICA E NUCLEAR;servidor
PETROLEIRO;servidor
BIBLIOTECARIO, ARQUIVISTA, MUSEOLOGO E ARQUEOLOGO;servidor
SERVIDOR PÚBLICO ESTADUAL;servidor
SERVIDOR PÚBLICO FEDERAL;servidor
BIBLIOTECÁRIO;servidor
SERVIDOR PÚBLICO MUNICIPAL;servidor
AGENTE DE SAÚDE E SANITARISTA;servidor
SERVENTUÁRIO DE JUSTIÇA;servidor
MEMBRO DO MINISTÉRIO PÚBLICO;servidor
PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;tecnico
MECANICO DE MANUTENCAO;tecnico
ENFERMEIRO;tecnico
TECNICO CONTABILIDADE, ESTATISTICA, ECONOMIA DOMESTICA E ADMINISTRACAO;tecnico
TECNICO DE ENFERMAGEM E TRABALHADOR ASSEMELHADO (EXCETO ENFERMEIRO);tecnico
OPERADOR DE EQUIP DE RADIO TELEV E DE SONORIZACAO E PROJECOES CINEMAT;tecnico
TECNICO DE QUIMICA;tecnico
TECNICO EM AGRONOMIA E AGRIMENSURA;tecnico
